名前,No/ぜんこく,No/セントラル,タイプ/0,タイプ/1,進化/0/Lv,進化/0/名前,進化/1/Lv,進化/1/名前,進化/2/Lv,進化/2/名前,種族値/H,種族値/A,種族値/B,種族値/C,種族値/D,種族値/S,種族値/平均,種族値/合計,努力値/H,努力値/A,努力値/B,努力値/C,努力値/D,努力値/S,隠しデータ/捕獲率,隠しデータ/初期なつき,隠しデータ/オス率,隠しデータ/メス率,タマゴ/歩数,タマゴ/グループ/0,タマゴ/グループ/1,特性/通常/0/名前,特性/通常/0/説明,特性/隠れ/名前,特性/隠れ/説明,特性/通常/1/名前,特性/通常/1/説明,No/マウンテン/str,No/マウンテン/num,No/ホウエン/str,No/ホウエン/num,No/コースト/str,No/コースト/num,進化/3/Lv,進化/3/名前,進化/4/Lv,進化/4/名前,進化/5/Lv,進化/5/名前,進化/6/Lv,進化/6/名前,進化/7/Lv,進化/7/名前,進化/8/Lv,進化/8/名前,特性/通常/2/名前,特性/通常/2/説明
モルフォン,049,,むし,どく,1,コンパン,31,モルフォン,,,70,65,60,90,75,90,75,450,0,0,0,1,0,1,75,70,50,50,5120,虫,,りんぷん,技の追加効果を受けない。,ミラクルスキン,相手の変化技の命中する確率が50%より大きい場合、命中率が50%になる。,いろめがね,自分の技のタイプ相性が『こうかは いまひとつのようだ』の場合、1/2倍の時は通常に、1/4倍の時は1/2倍になる。,,,,,,,,,,,,,,,,,,,,
ディグダ,050,,じめん,,1,ディグダ,26,ダグトリオ,,,10,55,25,35,45,95,44.2,265,0,0,0,0,0,1,255,70,50,50,5120,陸上,,すながくれ,天気が『すなあらし』の時、回避率が上がる。また、『すなあらし』によるダメージを受けない。／フィールドの天気が『すなあらし』の時、野生のポケモンと出会いにくくなる。,すなのちから,天気が『すなあらし』の時、自分の『じめん』『いわ』『はがね』タイプの技の威力が1.3倍になる。また、『すなあらし』によるダメージを受けない。,ありじごく,相手は逃げたり、ポケモンを交代することができなくなる。ただし、相手が『ひこう』タイプや『ゴースト』タイプ、特性『ふゆう』の場合は効果がない。／野生のポケモンと出会いやすくなる。,001,1,,,,,,,,,,,,,,,,,,
ダグトリオ,051,,じめん,,1,ディグダ,26,ダグトリオ,,,35,80,50,50,70,120,67.5,405,0,0,0,0,0,2,50,70,50,50,5120,陸上,,すながくれ,天気が『すなあらし』の時、回避率が上がる。また、『すなあらし』によるダメージを受けない。／フィールドの天気が『すなあらし』の時、野生のポケモンと出会いにくくなる。,すなのちから,天気が『すなあらし』の時、自分の『じめん』『いわ』『はがね』タイプの技の威力が1.3倍になる。また、『すなあらし』によるダメージを受けない。,ありじごく,相手は逃げたり、ポケモンを交代することができなくなる。ただし、相手が『ひこう』タイプや『ゴースト』タイプ、特性『ふゆう』の場合は効果がない。／野生のポケモンと出会いやすくなる。,002,2,,,,,,,,,,,,,,,,,,
ニャース,052,,ノーマル,,1,ニャース,28,ペルシアン,,,40,45,35,40,40,90,48.3,290,0,0,0,0,0,1,255,70,50,50,5120,陸上,,ものひろい,毎ターン終了時に、そのターンに相手が消費した道具を拾って自分のものにする。自分が道具を持っていない時のみ発動する。／道具を持っていない時、戦闘後に10%の確率で道具を拾ってくる。戦闘に参加しなくてもよい。レベルに応じて拾ってくる道具が変化する。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,テクニシャン,威力が60以下の技の威力が1.5倍になる。威力の変動する技や、威力が修正された場合も影響する。,,,,,,,,,,,,,,,,,,,,
ペルシアン,053,,ノーマル,,1,ニャース,28,ペルシアン,,,65,70,60,65,65,115,73.3,440,0,0,0,0,0,2,90,70,50,50,5120,陸上,,じゅうなん,『まひ』状態にならない。,きんちょうかん,すべての相手は『きのみ』を使用できなくなる。,テクニシャン,威力が60以下の技の威力が1.5倍になる。威力の変動する技や、威力が修正された場合も影響する。,,,,,,,,,,,,,,,,,,,,
コダック,054,059,みず,,1,コダック,33,ゴルダック,,,50,52,48,65,50,55,53.3,320,0,0,0,1,0,0,190,70,50,50,5120,水中1,陸上,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,ノーてんき,全てのポケモンに対しての天気の影響がなくなる。,,,165,165,,,,,,,,,,,,,,,,
ゴルダック,055,060,みず,,1,コダック,33,ゴルダック,,,80,82,78,95,80,85,83.3,500,0,0,0,2,0,0,75,70,50,50,5120,水中1,陸上,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,ノーてんき,全てのポケモンに対しての天気の影響がなくなる。,,,166,166,,,,,,,,,,,,,,,,
マンキー,056,,かくとう,,1,マンキー,28,オコリザル,,,40,80,35,35,45,70,50.8,305,0,1,0,0,0,0,190,70,50,50,5120,陸上,,やるき,『ねむり』状態にならない。技『ねむる』を使えない。／レベルの高い野生のポケモンと出会いやすくなる。,まけんき,相手の技や特性で『のうりょく』ランクが下がった時、自分の『こうげき』ランクが2段階上がる。,いかりのつぼ,自分への攻撃が急所に当たると、『こうげき』ランクが最大まで上がる。,,,,,,,,,,,,,,,,,,,,
オコリザル,057,,かくとう,,1,マンキー,28,オコリザル,,,65,105,60,60,70,95,75.8,455,0,2,0,0,0,0,75,70,50,50,5120,陸上,,やるき,『ねむり』状態にならない。技『ねむる』を使えない。／レベルの高い野生のポケモンと出会いやすくなる。,まけんき,相手の技や特性で『のうりょく』ランクが下がった時、自分の『こうげき』ランクが2段階上がる。,いかりのつぼ,自分への攻撃が急所に当たると、『こうげき』ランクが最大まで上がる。,,,,,,,,,,,,,,,,,,,,
ガーディ,058,,ほのお,,1,ガーディ,1,ウインディ,,,55,70,45,70,50,60,58.3,350,0,1,0,0,0,0,190,70,75,25,5120,陸上,,いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。／レベルの低い野生のポケモンと出会いにくくなる。,せいぎのこころ,『あく』タイプの技を受けると、『こうげき』ランクが1段階上がる。,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,,,,,,,,,,,,,,,,,,,,
ウインディ,059,,ほのお,,1,ガーディ,1,ウインディ,,,90,110,80,100,80,95,92.5,555,0,2,0,0,0,0,75,70,75,25,5120,陸上,,いかく,戦闘に出たときに相手の『こうげき』ランクを1段階下げる。／レベルの低い野生のポケモンと出会いにくくなる。,せいぎのこころ,『あく』タイプの技を受けると、『こうげき』ランクが1段階上がる。,もらいび,『ほのお』タイプの技のダメージや効果を受けず、以後自分の『ほのお』タイプの技の威力が1.5倍になる。,,,,,,,,,,,,,,,,,,,,
ニョロモ,060,,みず,,1,ニョロモ,25,ニョロゾ,1,ニョロボン,40,50,40,40,40,90,50,300,0,0,0,0,0,1,255,70,50,50,5120,水中1,,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,033,33,,,,,1,ニョロトノ,,,,,,,,,,,,
ニョロゾ,061,,みず,,1,ニョロモ,25,ニョロゾ,1,ニョロボン,65,65,65,50,50,90,64.2,385,0,0,0,0,0,2,120,70,50,50,5120,水中1,,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,034,34,,,,,1,ニョロトノ,,,,,,,,,,,,
ニョロボン,062,,みず,かくとう,1,ニョロモ,25,ニョロゾ,1,ニョロボン,90,95,95,70,90,70,85,510,0,0,3,0,0,0,45,70,50,50,5120,水中1,,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,すいすい,天気が『あめ』の時、『すばやさ』が2倍になる。,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,035,35,,,,,1,ニョロトノ,,,,,,,,,,,,
ケーシィ,063,102,エスパー,,1,ケーシィ,16,ユンゲラー,1,フーディン,25,20,15,105,55,90,51.7,310,0,0,0,1,0,0,200,70,75,25,5120,人型,,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,マジックガード,直接のダメージ以外を受けない。具体的には、『どく』『やけど』状態や特性『さめはだ』『てつのトゲ』『ヘドロえき』『ゆうばく』、天気『あられ』『すなあらし』、技『あくむ』『うずしお』『からではさむ』『しめつける』『ステルスロック』『すなじごく』『どくびし』『のろい』『はじけるほのお』『ふんじん』『ほのおのうず』『ほのおのちかい』『まきつく』『まきびし』『マグマストーム』『まとわりつく』『やどりぎのタネ』によるダメージ、反動のある技による反動ダメージや失敗時に受けるダメージ、道具『いのちのたま』『くっつきバリ』『くろいヘドロ』『ゴツゴツメット』の効果によるダメージを受けない。ただし『こんらん』『じばく』『だいばくはつ』『わるあがき』などには影響しない。,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,,,040,40,,,,,,,,,,,,,,,,
ユンゲラー,064,103,エスパー,,1,ケーシィ,16,ユンゲラー,1,フーディン,40,35,30,120,70,105,66.7,400,0,0,0,2,0,0,100,70,75,25,5120,人型,,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,マジックガード,直接のダメージ以外を受けない。具体的には、『どく』『やけど』状態や特性『さめはだ』『てつのトゲ』『ヘドロえき』『ゆうばく』、天気『あられ』『すなあらし』、技『あくむ』『うずしお』『からではさむ』『しめつける』『ステルスロック』『すなじごく』『どくびし』『のろい』『はじけるほのお』『ふんじん』『ほのおのうず』『ほのおのちかい』『まきつく』『まきびし』『マグマストーム』『まとわりつく』『やどりぎのタネ』によるダメージ、反動のある技による反動ダメージや失敗時に受けるダメージ、道具『いのちのたま』『くっつきバリ』『くろいヘドロ』『ゴツゴツメット』の効果によるダメージを受けない。ただし『こんらん』『じばく』『だいばくはつ』『わるあがき』などには影響しない。,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,,,041,41,,,,,,,,,,,,,,,,
フーディン,065,104,エスパー,,1,ケーシィ,16,ユンゲラー,1,フーディン,55,50,45,135,95,120,83.3,500,0,0,0,3,0,0,50,70,75,25,5120,人型,,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,マジックガード,直接のダメージ以外を受けない。具体的には、『どく』『やけど』状態や特性『さめはだ』『てつのトゲ』『ヘドロえき』『ゆうばく』、天気『あられ』『すなあらし』、技『あくむ』『うずしお』『からではさむ』『しめつける』『ステルスロック』『すなじごく』『どくびし』『のろい』『はじけるほのお』『ふんじん』『ほのおのうず』『ほのおのちかい』『まきつく』『まきびし』『マグマストーム』『まとわりつく』『やどりぎのタネ』によるダメージ、反動のある技による反動ダメージや失敗時に受けるダメージ、道具『いのちのたま』『くっつきバリ』『くろいヘドロ』『ゴツゴツメット』の効果によるダメージを受けない。ただし『こんらん』『じばく』『だいばくはつ』『わるあがき』などには影響しない。,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,,,042,42,,,,,,,,,,,,,,,,
メガフーディン,065,104,エスパー,,1,ケーシィ,16,ユンゲラー,1,フーディン,55,50,65,175,95,150,98.3,590,0,0,0,3,0,0,50,70,75,25,5120,人型,,トレース,相手と同じ特性になる。相手が2体いる場合はランダムにどちらかの特性が選ばれる。相手の特性が『てんきや』『トレース』『バトルスイッチ』の場合は効果がない。,,,,,,,042,42,,,,,,,,,,,,,,,,
ワンリキー,066,,かくとう,,1,ワンリキー,28,ゴーリキー,1,カイリキー,70,80,50,35,35,35,50.8,305,0,1,0,0,0,0,180,70,75,25,5120,人型,,こんじょう,状態異常の時、『こうげき』が1.5倍になる。またその時、『やけど』状態による『こうげき』半減の効果を受けない。,ふくつのこころ,相手の技でひるむと、『すばやさ』ランクが1段階上がる。,ノーガード,お互いに技が命中率・回避率に関係なく必ず命中する。／野生のポケモンと出会いやすくなる。,,,075,75,057,57,,,,,,,,,,,,,,
ゴーリキー,067,,かくとう,,1,ワンリキー,28,ゴーリキー,1,カイリキー,80,100,70,50,60,45,67.5,405,0,2,0,0,0,0,90,70,75,25,5120,人型,,こんじょう,状態異常の時、『こうげき』が1.5倍になる。またその時、『やけど』状態による『こうげき』半減の効果を受けない。,ふくつのこころ,相手の技でひるむと、『すばやさ』ランクが1段階上がる。,ノーガード,お互いに技が命中率・回避率に関係なく必ず命中する。／野生のポケモンと出会いやすくなる。,,,076,76,058,58,,,,,,,,,,,,,,
カイリキー,068,,かくとう,,1,ワンリキー,28,ゴーリキー,1,カイリキー,90,130,80,65,85,55,84.2,505,0,3,0,0,0,0,45,70,75,25,5120,人型,,こんじょう,状態異常の時、『こうげき』が1.5倍になる。またその時、『やけど』状態による『こうげき』半減の効果を受けない。,ふくつのこころ,相手の技でひるむと、『すばやさ』ランクが1段階上がる。,ノーガード,お互いに技が命中率・回避率に関係なく必ず命中する。／野生のポケモンと出会いやすくなる。,,,077,77,059,59,,,,,,,,,,,,,,
マダツボミ,069,,くさ,どく,1,マダツボミ,21,ウツドン,1,ウツボット,50,75,35,70,30,40,50,300,0,1,0,0,0,0,255,70,50,50,5120,植物,,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,くいしんぼう,通常より早く、HPが最大HPの半分以下になると『きのみ』を使う。,,,026,26,,,,,,,,,,,,,,,,,,
